procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1036 181472  44500 572088    0    0   337    73  547  927  9  3 87  1  0

 3  0   5156  98644   6600 282736    0 3868  2232  3868 2324 4284  8 25 66  0  0
 3  0   5668  56668   6276 264324    0  476  3116   648 2082 3266  5  7 87  1  0
 1  2 230208  56808   1292 112256  100 224364  2744 224364 4325 5383  6 36 17 41  0
 0  0 306940  82876   1372 105808    8 76912  1700 76924 2817 3230  5  8 68 19  0
 1  1 503932  56524   1460  91996    4 196996   148 196996 3654 4342  6 18 38 37  0
16  6 703900 1698100    352  85024  584 201000 422260 201268 15421 16521  2 49  7 42  0
 1  2 688172 2161452    648 131692 16444  248 64700   364 7075 14308  5 10 49 36  0
 3  0 679780 2140788    792 142532 9148    0 20132     0 3837 7932  4  4 75 17  0
 1  0 679384 2139276   1208 143276  412    0  1628     0 2267 3458  4  3 92  1  0

This was done on VM Ubuntu, so i don't know if it's correct
